example_id,label
2591,1
10174,0
4764,0
5429,0
11235,0
4120,0
4549,1
4752,1
12562,1
3783,0
8804,0
12427,1
4702,0
10942,0
9152,1
9638,0
6396,0
7296,0
10093,0
12304,0
7567,0
6473,0
1509,1
11626,0
1356,0
10024,1
46,0
8951,0
10057,1
1937,0
1554,0
1326,0
11494,1
2165,0
4462,0
3764,0
11997,0
10696,0
7776,1
3004,1
12470,1
11927,0
1949,1
3053,1
1309,0
2114,1
8314,0
1282,0
9413,0
9008,0
3079,1
8487,1
1614,0
6642,0
8229,0
12381,0
1559,0
5626,0
10724,0
4919,1
9996,0
7289,0
2177,0
1732,0
4190,0
3466,0
6940,0
1906,0
4312,1
2118,1
1987,0
8611,0
8586,0
1307,0
6305,1
5452,0
2468,0
2277,1
10046,0
1756,1
2499,1
4303,1
2436,0
10912,0
5830,0
8904,1
5189,0
5158,0
4684,0
2401,1
6295,0
12543,1
7902,0
3691,0
1258,0
11151,0
10565,1
7436,0
6687,0
3463,1
4765,0
12597,1
3282,1
5986,0
8286,0
994,1
587,1
7131,0
105,1
1984,1
10414,0
8004,1
8141,0
3057,0
8348,0
7954,0
3828,0
12168,0
2491,0
5578,0
8231,1
8827,0
1864,0
10631,0
9901,1
8096,1
3152,0
10387,0
1865,1
750,1
8134,0
6933,1
8964,0
1280,0
6592,0
3808,0
7812,1
4356,0
5836,0
241,1
1268,1
9877,1
4899,1
4158,0
4176,0
6267,1
4722,0
9267,0
7489,1
2770,0
7801,1
9853,0
2827,0
9016,1
8766,1
12165,1
6164,1
4056,0
331,1
11386,1
8837,1
5972,1
11932,1
1385,0
9556,1
599,1
10749,0
3172,1
5363,0
3270,0
457,1
5881,1
2087,0
1303,0
7635,1
12237,0
1244,0
5312,1
4217,1
1206,1
3743,0
3023,1
11129,0
11902,1
5347,0
10423,0
10937,1
4403,0
5193,0
3433,0
5675,1
10104,0
8761,0
6007,0
5669,0
3397,1
214,1
11063,0
8602,0
5947,0
2471,0
6968,0
5270,1
11123,0
6748,0
10419,0
10053,0
6992,1
5235,1
9903,1
508,1
7748,0
12444,0
6733,0
2369,1
2452,0
7581,0
4142,0
11417,1
12404,0
8500,1
12360,1
1939,1
8139,1
1833,1
11201,1
7456,0
10130,0
4887,0
5867,0
7894,0
8254,1
4647,1
3830,0
2895,0
1613,1
7164,1
7306,0
9875,0
10672,1
4011,1
8153,1
7066,0
4077,0
2835,0
11511,0
4116,0
5655,0
11096,1
7239,1
7348,0
1381,1
1191,1
11168,1
108,1
10116,0
12296,1
9822,0
1633,1
4825,0
6360,1
1181,0
6998,1
12125,1
1866,0
11811,1
10331,0
9950,0
9154,0
6805,0
10165,0
927,0
11487,0
5825,1
10011,1
12230,0
4791,0
3721,0
3816,0
9742,0
6391,0
11254,1
8628,0
4939,0
479,1
5493,1
162,1
8740,0
9825,1
9142,0
6820,1
9047,1
232,0
11957,0
411,0
695,0
2954,0
5696,1
5219,0
2935,1
10424,1
6743,0
4016,0
6964,1
200,0
11921,1
8987,1
11814,0
3924,0
10574,1
9430,1
1071,1
2172,1
1347,1
3225,1
8728,0
5425,1
6262,1
10786,0
1661,1
9590,1
8414,0
5297,1
8836,0
8580,0
3284,1
4855,0
2967,0
4614,1
6357,1
2360,0
2697,0
10469,0
471,0
2112,0
10048,1
8947,0
10765,1
7579,1
12334,1
1827,0
9690,1
1340,0
546,0
1083,1
12593,0
250,1
1574,1
5285,0
676,0
1930,0
7248,0
463,1
5261,1
1447,0
9175,1
9094,0
1120,0
1143,0
656,0
10255,0
4364,0
8909,0
148,1
5342,0
5826,1
5822,0
1548,0
8865,0
12507,0
4480,0
6190,0
10543,0
11911,0
10590,1
7644,1
11805,1
1663,0
11502,0
1245,1
5860,0
2564,0
1222,0
10132,1
9864,0
5035,1
8147,0
5937,0
9438,1
786,1
11388,0
3297,0
8278,1
4688,1
2094,0
6181,1
11210,0
4163,0
6265,0
1749,0
767,1
5915,0
5633,0
8647,0
6462,1
10315,1
2284,0
9055,1
9840,0
5621,1
7885,0
11273,1
12290,0
10310,0
2623,0
9916,0
8162,1
11820,0
2779,1
7777,1
10243,1
10600,0
4980,0
9279,1
7639,0
12099,1
6817,1
8976,1
4662,0
3021,0
3963,0
10271,0
2372,0
1624,0
7627,1
10311,1
1941,0
12506,0
4096,1
1570,1
6610,1
6356,0
9693,0
12637,0
622,1
9022,0
2400,0
435,0
10557,1
4334,0
7587,1
11394,1
5727,1
8599,1
1835,0
4044,1
9807,1
4583,0
8946,0
5281,1
5809,0
9250,0
3575,1
11860,0
12498,1
478,0
6606,0
6158,0
1667,1
5409,0
9127,0
3522,0
10443,0
3506,1
6395,1
5000,1
9689,0
1739,0
4736,1
8388,0
7613,1
11219,0
3760,0
9394,0
2585,0
5268,1
10676,0
525,0
5886,1
9842,0
4682,1
8626,1
8026,1
2746,0
3345,0
12480,1
6582,0
5106,0
8568,0
1503,0
8954,0
2053,1
6653,0
7057,0
4578,1
8360,1
7706,0
953,1
62,0
6347,0
10283,1
2150,1
897,1
11148,1
11357,1
4435,1
7354,1
5845,1
9086,1
6196,0
5916,0
5791,0
10081,0
7924,1
6322,1
9652,0
11588,1
10887,0
12410,1
3949,0
8637,0
4384,0
734,0
1361,0
9462,1
501,1
3166,0
6435,0
8405,0
67,0
521,1
5964,1
10655,0
4014,1
9103,1
5315,1
3559,0
11796,1
4381,0
9829,1
3819,0
9509,1
5996,0
4822,0
3038,0
11500,0
10793,1
8794,1
7122,0
12563,0
12475,0
8275,0
9710,1
2702,0
7451,0
2474,0
9907,1
3789,1
5075,0
7047,0
6558,0
12147,1
2615,0
2482,1
6231,0
8629,1
12513,0
5796,1
9612,0
3617,0
5255,1
3048,1
2865,1
8091,1
8140,1
561,1
7994,0
10607,0
12464,1
10144,1
10457,0
11162,0
12014,1
557,1
6861,0
9887,0
10378,0
11315,1
11510,0
497,0
5987,1
10265,1
12407,1
4779,0
3802,0
4062,0
4333,0
7984,0
3461,1
4554,0
12195,1
2161,0
10080,0
2780,0
9014,0
2180,0
5856,0
12192,1
12002,0
3130,1
3964,0
10090,0
7983,0
9418,0
8502,1
11683,1
9931,1
5183,0
9224,0
10371,1
1980,0
8127,0
7779,0
1035,0
2794,1
1363,1
10520,0
8169,0
472,0
2862,1
4238,0
5827,1
2557,1
11042,0
3381,0
12258,0
8095,1
3200,0
2932,1
11646,1
8442,1
2793,0
12166,1
4710,0
535,1
3698,0
6567,0
9895,0
6903,0
8092,1
6193,1
1380,1
781,1
5043,0
12043,0
8606,1
9343,0
6367,0
1551,0
8895,0
9141,0
3156,1
5702,0
5455,1
8672,1
2230,0
2805,1
4401,0
12029,1
536,0
1861,0
5205,0
10148,0
11384,0
3378,0
6070,0
11975,0
1069,1
5146,0
7802,1
5936,0
4094,1
2550,0
7303,0
1830,0
2621,0
743,1
1234,1
27,0
8470,0
3459,0
12224,0
2404,0
4977,0
9100,0
3913,0
2612,1
5784,0
861,1
4206,0
7474,1
2145,0
10287,0
752,1
10162,1
5994,1
8715,1
7805,1
11837,1
7993,0
12312,0
1741,0
10013,0
10030,0
1176,0
8636,0
2393,0
